City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Adrar,MR,2022-07-23 22:30:21,overcast clouds,20.5022,-10.0711,94.96,28,93,10.96
1,Arraial Do Cabo,BR,2022-07-23 22:30:30,clear sky,-22.9661,-42.0278,72.03,87,6,21.12
2,Nanortalik,GL,2022-07-23 22:30:31,overcast clouds,60.1432,-45.2371,44.02,91,96,10.78
3,Yellowknife,CA,2022-07-23 22:30:31,broken clouds,62.456,-114.3525,72.12,37,75,19.57
4,Bambous Virieux,MU,2022-07-23 22:30:31,light rain,-20.3428,57.7575,69.22,83,40,8.05
5,Abu Samrah,SY,2022-07-23 22:26:35,clear sky,35.3029,37.1841,77.99,43,0,6.44
6,Kodiak,US,2022-07-23 22:30:32,moderate rain,57.79,-152.4072,53.11,87,100,14.97
7,Saskylakh,RU,2022-07-23 22:30:32,scattered clouds,71.9167,114.0833,55.89,76,45,3.83
8,Vilyuysk,RU,2022-07-23 22:30:33,clear sky,63.7553,121.6247,69.66,68,2,5.82
9,Airai,TL,2022-07-23 22:30:33,broken clouds,-8.9266,125.4092,54.99,75,65,2.42
10,Tuatapere,NZ,2022-07-23 22:30:33,broken clouds,-46.1333,167.6833,45.19,83,53,2.53
11,Rikitea,PF,2022-07-23 22:30:34,clear sky,-23.1203,-134.9692,72.91,63,0,8.39
12,Hell,NO,2022-07-23 22:30:34,clear sky,63.4455,10.9033,53.51,82,0,3.44
13,Madimba,TZ,2022-07-23 22:30:34,clear sky,-10.4,40.3333,68.22,88,9,7.76
14,Panaba,MX,2022-07-23 22:30:35,overcast clouds,21.2833,-88.2667,90.3,50,100,16.87
15,Albany,US,2022-07-23 22:26:31,few clouds,42.6001,-73.9662,93.63,42,22,1.01
16,Tambopata,PE,2022-07-23 22:30:35,scattered clouds,-12.7333,-69.1833,77.4,68,36,3.76
17,Saint-Philippe,RE,2022-07-23 22:30:35,light rain,-21.3585,55.7679,69.03,84,60,12.12
18,Dalbandin,PK,2022-07-23 22:30:36,overcast clouds,28.8947,64.4101,85.37,52,100,7.92
19,Ilulissat,GL,2022-07-23 22:30:36,overcast clouds,69.2167,-51.1,38.89,98,100,2.55
20,Lavrentiya,RU,2022-07-23 22:30:36,overcast clouds,65.5833,-171.0,42.57,89,100,11.61
21,Berlevag,NO,2022-07-23 22:26:30,drizzle,70.8578,29.0864,51.6,87,100,14.97
22,Ushuaia,AR,2022-07-23 22:26:54,snow,-54.8,-68.3,33.46,86,100,18.41
23,Ponta Do Sol,PT,2022-07-23 22:30:37,clear sky,32.6667,-17.1,75.43,69,3,2.66
24,Bluff,NZ,2022-07-23 22:30:28,scattered clouds,-46.6,168.3333,37.8,82,43,5.01
25,Tayu,ID,2022-07-23 22:30:37,overcast clouds,-6.5397,111.0518,74.3,89,90,8.52
26,Constitucion,CL,2022-07-23 22:29:03,light rain,-35.3333,-72.4167,54.64,87,100,2.35
27,Mabay,PH,2022-07-23 22:30:38,overcast clouds,6.0577,124.4666,79.05,80,96,2.28
28,Havoysund,NO,2022-07-23 22:30:38,overcast clouds,70.9963,24.6622,50.23,91,100,20.36
29,Bengkulu,ID,2022-07-23 22:30:39,overcast clouds,-3.8004,102.2655,74.88,89,87,4.63
30,Marsh Harbour,BS,2022-07-23 22:26:15,clear sky,26.5412,-77.0636,83.37,71,0,12.33
31,Torbay,CA,2022-07-23 22:25:22,scattered clouds,47.6666,-52.7314,67.41,85,38,4.79
32,Bredasdorp,ZA,2022-07-23 22:30:39,scattered clouds,-34.5322,20.0403,50.45,71,36,2.91
33,Thompson,CA,2022-07-23 22:28:09,broken clouds,55.7435,-97.8558,64.56,52,75,8.05
34,Punta Arenas,CL,2022-07-23 22:30:40,clear sky,-53.15,-70.9167,35.71,69,0,9.22
35,Avarua,CK,2022-07-23 22:30:40,scattered clouds,-21.2078,-159.775,75.25,64,40,8.05
36,Basoko,CD,2022-07-23 22:30:40,overcast clouds,1.2391,23.616,72.99,84,89,0.43
37,Pyay,MM,2022-07-23 22:30:41,overcast clouds,18.8167,95.2167,74.91,94,100,3.44
38,Mataura,NZ,2022-07-23 22:30:26,broken clouds,-46.1927,168.8643,42.21,69,80,1.36
39,Gobo,JP,2022-07-23 22:30:41,overcast clouds,33.8833,135.15,78.69,70,88,2.33
40,Vaini,TO,2022-07-23 22:30:41,few clouds,-21.2,-175.2,75.36,73,20,11.5
41,Qaanaaq,GL,2022-07-23 22:30:42,overcast clouds,77.484,-69.3632,37.35,99,100,0.58
42,Ust-Kulom,RU,2022-07-23 22:30:42,clear sky,61.6864,53.6902,56.75,94,6,3.29
43,Ribeira Grande,PT,2022-07-23 22:30:42,broken clouds,38.5167,-28.7,74.32,87,51,5.79
44,Dikson,RU,2022-07-23 22:30:43,broken clouds,73.5069,80.5464,48.52,79,82,10.22
45,Mecca,SA,2022-07-23 22:26:49,overcast clouds,21.4267,39.8261,90.37,48,88,11.65
46,Bubaque,GW,2022-07-23 22:24:02,overcast clouds,11.2833,-15.8333,80.01,80,100,15.57
47,Palmer,US,2022-07-23 22:26:49,few clouds,42.1584,-72.3287,95.5,39,20,11.5
