City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
27,Mabay,PH,79.05,overcast clouds,6.0577,124.4666,Bautista Lodging House
30,Marsh Harbour,BS,83.37,clear sky,26.5412,-77.0636,Abaco Beach Resort
39,Gobo,JP,78.69,overcast clouds,33.8833,135.15,Kotobuki Inn
46,Bubaque,GW,80.01,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
54,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
58,Faanui,PF,79.45,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
60,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Kavaratti,IN,80.94,broken clouds,10.5669,72.642,Green leaf
69,Lorengau,PG,83.53,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
71,Bacong,PH,80.58,light rain,9.2464,123.2956,Sta Monica Beach Club
73,Savannah Bight,HN,82.8,broken clouds,16.45,-85.85,Villa on Dunbar Rock
80,Nishihara,JP,83.86,scattered clouds,26.1842,127.7558,Minshuku Agaihama
83,Bombay,IN,82.38,light rain,19.0144,72.8479,Hotel Avon Ruby-Dadar
88,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
92,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
93,Sabha,LY,82.42,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
98,Portland,US,83.98,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
111,Normandin,CA,80.91,broken clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
113,Mayfield Heights,US,82.24,clear sky,41.5192,-81.4579,Hilton Garden Inn Cleveland East/Mayfield Village
119,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
120,Kirakira,SB,84.11,scattered clouds,-10.4544,161.9205,SanBiz Lodge
127,Akdepe,TM,82.49,clear sky,42.0551,59.3788,
128,Trairi,BR,78.96,scattered clouds,-3.2778,-39.2689,janelas do mar
